,precision,recall,f1-score,support
aperol_spritz,1.0,1.0,1.0,4.0
bloody_mary,1.0,0.8,0.8888888888888888,5.0
caipirinha_de_limao,0.5,0.5,0.5,6.0
cosmopolitan_perfeito,0.9,1.0,0.9473684210526315,9.0
cuba_libre,0.5,0.8333333333333334,0.625,6.0
daiquiri,0.5,0.3333333333333333,0.4,6.0
gin_tonica_com_limao,0.6666666666666666,0.6666666666666666,0.6666666666666666,6.0
manhattan,0.3333333333333333,0.4,0.36363636363636365,5.0
margarita_facil,0.4444444444444444,1.0,0.6153846153846154,4.0
mojito_tradicional,0.0,0.0,0.0,1.0
moscow_mule,1.0,0.6,0.75,10.0
negroni,0.625,0.625,0.625,8.0
old_fashioned,0.5714285714285714,0.4444444444444444,0.5,9.0
pina_colada,1.0,0.3333333333333333,0.5,3.0
sex_on_the_beach,1.0,0.875,0.9333333333333333,8.0
accuracy,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
macro avg,0.6693915343915344,0.6274074074074074,0.6210185525974999,90.0
weighted avg,0.7187477954144621,0.6666666666666666,0.6707460797811675,90.0
